SALE TYPE,SOLD DATE,PROPERTY.TYPE,ADDRESS,CITY,STATE.OR.PROVINCE,ZIP.OR.POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE.FEET,LOT.SIZE,YEAR.BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,555 Southridge Way,Irving,TX,75063,325000,3,2,Southridge Ph 01,1831,4051,1999,18,177,83,Active,,,14401368,N,Y,32.9220821,-96.9545278
MLS Listing,,Single Family Residential,2159 Falcon Ridge Dr,Carrollton,TX,75010,265000,3,2,Harvest Run Ph 2,1331,4051,1985,19,199,,Active,,,14393629,N,Y,33.031718,-96.8709326
MLS Listing,,Single Family Residential,2426 Weatherby Dr,Mesquite,TX,75181,229900,3,2.5,Creek Crossing Estates,1540,4008,1988,4,149,,Active,,,14413246,N,Y,32.7539506,-96.5625128
MLS Listing,,Townhouse,7105 Van Gogh Dr,Plano,TX,75093,264900,3,2.5,Pasquinellis Parker Estates Ph,1585,4008,2002,7,167,263,Active,,,14404201,N,Y,33.042883,-96.855803
MLS Listing,,Single Family Residential,726 Willow Oak Dr,Lewisville,TX,75067,250000,3,2,Timbercreek Estate Sec 2,1505,4008,1991,11,166,,Active,,,14401800,N,Y,33.0184994,-97.0047612
MLS Listing,,Single Family Residential,505 Southridge Way,Irving,TX,75063,360000,3,2.5,Southridge Ph 01,2119,4008,1999,19,170,84,Active,,,14400176,N,Y,32.9218226,-96.9528918
MLS Listing,,Single Family Residential,2010 Alisa Ln,Arlington,TX,76014,349000,3,2.5,Arlington Tech Center Addition,2364,4008,2020,26,148,150,Active,,,14391323,N,Y,32.681263,-97.077296
MLS Listing,,Single Family Residential,2438 Wycliff Ave,Dallas,TX,75219,289500,3,2,Clifton Place 03,1221,4008,2003,49,237,,Active,,,14376482,N,Y,32.8087629,-96.8206296
MLS Listing,,Single Family Residential,3026 E Ivy Hill Ln,Irving,TX,75063,515000,4,4,Parkside East Ph 1,3206,3964,2015,1,161,121,Active,,,14409252,N,Y,32.8999569,-96.9843611
MLS Listing,,Condo/Co-op,6318 Richmond Ave #3201,Dallas,TX,75214,195000,1,1,Bois Du Lac Condo,785,65427,1984,41,248,292,Active,,,14381140,N,Y,32.816033,-96.7546303
MLS Listing,,Single Family Residential,3451 Shenandoah St,University Park,TX,75205,899000,4,4,Walkers,3460,3964,1998,6,260,,Active,,,14411039,N,Y,32.8394061,-96.7894963
MLS Listing,,Townhouse,1204 Alisa Ln,Arlington,TX,76014,350000,3,2.5,Arlington Tech Center Addition,2309,3964,2020,26,152,150,Active,,,14390819,N,Y,32.684008,-97.091973
MLS Listing,,Townhouse,201 Indian Hills Ave,Flower Mound,TX,75028,464900,3,2.5,Villas at Southgate Ph 1,2270,3964,2018,32,205,230,Active,,,14386870,N,Y,32.9879108,-97.0479578
MLS Listing,,Single Family Residential,785 Chateau Ln,Plano,TX,75023,259900,3,2.5,Ruisseau Place Ph I,1613,3920,1988,3,161,27,Active,,,14406274,N,Y,33.0423248,-96.7089944
MLS Listing,,Single Family Residential,1212 Naples Dr,Richardson,TX,75080,499000,5,3.5,Savoy Trace Sub,2896,3920,2013,3,172,208,Active,,,14413805,N,Y,32.9799607,-96.7624256
MLS Listing,,Townhouse,5422 Keswick Dr,Frisco,TX,75034,469900,4,3.5,Chase At Stonebriar The,3017,3920,2002,17,156,174,Active,,,14396433,N,Y,33.099818,-96.840495
MLS Listing,,Single Family Residential,4835 Blackwood Cross Ln,Arlington,TX,76005,326999,2,2.5,Viridian Elements 55+,1806,3920,2020,19,181,284,Active,,,14400669,N,Y,32.8094,-97.0737
MLS Listing,,Multi-Family (2-4 Unit),7652 Royal Ln,Dallas,TX,75230,410000,3,2.5,Royal Park Estates,2070,3311,1972,41,198,,Active,,,14370691,N,Y,32.897333,-96.773652
MLS Listing,,Condo/Co-op,2535 Wedglea Dr #226,Dallas,TX,75211,162000,1,1,Wedglea Manor Condos,940,,1983,41,172,263,Active,,,14381946,N,Y,32.7569465,-96.8607883
